,Date,Hour,ProductionLt100MW,ProductionGe100MW,OffshoreWindPower,OnshoreWindPower,SolarPower,ExchangeGreatBelt,ExchangeGermany,ExchangeNetherlands,ExchangeNorway,ExchangeSweden,BornholmSE4,Sum,Weekday,Month,HourDK
334,2020-01-14,23,429.2441666666667,790.1341666666667,1217.0525,3371.0466666666666,0.0,0.0,866.9566666666666,-447.8575,-1387.0833333333333,-1151.1808333333333,-12.989166666666668,3675.3233333333333,1.0,1.0,2020-01-14 23:00:00
335,2020-01-15,0,399.25916666666666,757.88,1155.3616666666667,3142.861666666667,0.0,0.0,1069.3725,-599.5683333333333,-1387.0833333333333,-1008.0741666666667,-8.834999999999999,3521.174166666667,2.0,1.0,2020-01-15 00:00:00
336,2020-01-15,1,394.5133333333333,767.6766666666666,1218.71,3001.795,0.0,0.0,1498.9750000000001,-627.1066666666667,-1386.9166666666667,-1414.0316666666668,-10.626666666666667,3442.9883333333332,2.0,1.0,2020-01-15 01:00:00
337,2020-01-15,2,391.445,766.3433333333334,1325.0016666666668,2935.0208333333335,0.0,0.0,1324.6283333333333,-667.5541666666667,-1387.5,-1227.1208333333334,-10.335833333333333,3449.9283333333333,2.0,1.0,2020-01-15 02:00:00
338,2020-01-15,3,390.24,737.9633333333333,1310.3575,2924.5633333333335,0.0,0.0,1314.0175,-627.1966666666667,-1386.6666666666667,-1271.2833333333333,-10.004166666666666,3381.9908333333333,2.0,1.0,2020-01-15 03:00:00
339,2020-01-15,4,389.2525,820.9333333333334,1301.1299999999999,2799.9966666666664,0.0,0.0,1286.8258333333333,-565.145,-1386.6666666666667,-1124.2508333333333,-10.2425,3511.8333333333335,2.0,1.0,2020-01-15 04:00:00
340,2020-01-15,5,398.7075,853.4958333333334,1298.3266666666666,2831.4341666666664,0.0,0.0,880.5741666666667,-636.6141666666666,-1374.6666666666667,-541.1391666666667,-7.2875000000000005,3702.8308333333334,2.0,1.0,2020-01-15 05:00:00
341,2020-01-15,6,401.94250000000005,871.7608333333334,1260.5966666666666,2596.3383333333336,0.0,0.0,805.3083333333334,-637.67,-908.3333333333334,-58.40416666666666,-8.246666666666666,4323.2925000000005,2.0,1.0,2020-01-15 06:00:00
342,2020-01-15,7,402.83666666666664,818.7108333333334,1212.7558333333334,2434.8083333333334,0.0,0.0,610.765,-593.6166666666667,-346.5,506.6641666666667,-4.76,5041.6641666666665,2.0,1.0,2020-01-15 07:00:00
343,2020-01-15,8,439.19583333333327,883.9825,1055.0049999999999,2494.6033333333335,0.2733333333333334,0.0,578.9433333333334,-539.6325,-20.7725,384.04583333333335,-2.415,5273.229166666667,2.0,1.0,2020-01-15 08:00:00
344,2020-01-15,9,474.81166666666667,1041.2133333333334,905.0633333333334,2121.1383333333333,6.214166666666666,0.0,635.6141666666666,-559.9025,294.73833333333334,276.7366666666667,-5.935,5189.6925,2.0,1.0,2020-01-15 09:00:00
345,2020-01-15,10,494.32666666666665,1178.8641666666665,733.9883333333333,2159.7208333333333,26.605,0.0,598.715,-700.1116666666667,515.0191666666667,83.94333333333334,-9.698333333333332,5081.3725,2.0,1.0,2020-01-15 10:00:00
346,2020-01-15,11,549.2658333333334,1472.3858333333335,831.2058333333333,2170.4058333333332,49.29333333333333,0.0,878.0949999999999,-700.0300000000001,-184.88250000000002,-51.411666666666655,-11.1025,5003.225,2.0,1.0,2020-01-15 11:00:00
347,2020-01-15,12,529.8833333333333,987.8591666666666,918.1091666666667,2233.35,49.345,0.0,781.3375,-699.86,-238.5,399.67833333333334,-10.262500000000001,4950.94,2.0,1.0,2020-01-15 12:00:00
348,2020-01-15,13,490.27416666666664,862.6116666666667,905.7833333333333,1970.18,35.13916666666666,0.0,880.5616666666666,-699.81,135.3575,557.3108333333333,-6.8999999999999995,5130.508333333333,2.0,1.0,2020-01-15 13:00:00
349,2020-01-15,14,506.08833333333337,998.0258333333333,942.7275,2128.960833333333,19.82916666666667,0.0,647.7958333333332,-699.8224999999999,27.334999999999997,441.0075,-7.239999999999999,5004.7074999999995,2.0,1.0,2020-01-15 14:00:00
350,2020-01-15,15,542.9925,1045.64,1015.2725,1996.7225,5.159166666666667,0.0,-6.785833333333343,-700.0491666666667,116.31583333333333,833.3783333333334,-5.055000000000001,4843.590833333333,2.0,1.0,2020-01-15 15:00:00
351,2020-01-15,16,498.27,889.59,1057.6408333333331,1907.3625000000002,0.2991666666666667,0.0,-0.7483333333333301,-700.2358333333333,474.4075,1001.9416666666666,-2.2133333333333334,5126.314166666666,2.0,1.0,2020-01-15 16:00:00
