Month,MunicipalityNo,OnshoreWindPower,OffshoreWindPower,SolarPower,CentralPower,DecentralPower
2022-03-01T00:00:00,779,17448.18451,0,4992.324,0,7903.331237
2022-03-01T00:00:00,773,12236.35912,0,3287.383,0,2459.72016
2022-03-01T00:00:00,766,2790.374865,0,1142.422,0,978.792373
2022-03-01T00:00:00,760,68236.51788,0,5649.833,0,17041.4766
2022-03-01T00:00:00,756,7761.099382,0,869.14,0,3236.341171
2022-03-01T00:00:00,751,1554.595346,0,3532.746,326039.4464,27427.99259
2022-03-01T00:00:00,746,2427.177315,0,964.377,0,1512.47314
2022-03-01T00:00:00,741,1621.916342,0,151.716,,
2022-03-01T00:00:00,740,2588.229666,0,3365.067,0,31046.74402
2022-03-01T00:00:00,730,37829.08855,0,5453.376,16329.47455,1163.710256
2022-03-01T00:00:00,727,2479.59759,817.3202,348.681,0,89.527915
2022-03-01T00:00:00,710,4438.358944,0,830.009,0,1704.19764
2022-03-01T00:00:00,707,5576.299148,103924.5478,3281.593,0,27.951308
2022-03-01T00:00:00,706,2432.719483,0,928.288,0,453.807957
2022-03-01T00:00:00,671,9371.573646,0,511.454,0,0
2022-03-01T00:00:00,665,26051.00649,10010.50216,7438.404,0,5095.76658
2022-03-01T00:00:00,661,29682.58558,0,16489.425,0,21079.18075
2022-03-01T00:00:00,657,15677.39026,0,3086.869,28768.39499,1565.664616
2022-03-01T00:00:00,630,5677.712004,0,9627.715,0,2083.639804
2022-03-01T00:00:00,621,3614.754922,0,1572.478,0,6032.308728
2022-03-01T00:00:00,615,531.606246,0,1581.544,0,5548.711867
2022-03-01T00:00:00,607,201.8266,0,564.84,32156.3803,1138.559753
2022-03-01T00:00:00,580,8444.239694,0,3360.455,0,901.195003
2022-03-01T00:00:00,575,6603.14473,0,989.403,0,1396.379909
2022-03-01T00:00:00,573,14561.67517,0,1529.252,0,4004.170173
2022-03-01T00:00:00,563,307.4871,0,80.974,,
2022-03-01T00:00:00,561,12100.66105,80246.22204,1447.85,194947.6105,16834.86165
2022-03-01T00:00:00,550,17946.14047,0,937.491,0,1572.824031
2022-03-01T00:00:00,540,2469.787469,0,3932.259,0,3875.288804
2022-03-01T00:00:00,530,11860.002,0,727.709,0,1930.605131
2022-03-01T00:00:00,510,4713.680987,0,1256.847,0,756.841529
2022-03-01T00:00:00,492,2127.95701,0,152.683,0,246.417986
2022-03-01T00:00:00,482,7166.69622,0,244.917,,
2022-03-01T00:00:00,480,3007.084599,0,526.438,0,226.017782
2022-03-01T00:00:00,479,3976.266658,0,1215.405,0,5195.690233
2022-03-01T00:00:00,461,1007.892214,0,1662.235,76265.12697,37475.34858
2022-03-01T00:00:00,450,3081.584783,0,436.855,0,4265.8829
2022-03-01T00:00:00,440,4001.077657,0,380.599,0,0.0468
2022-03-01T00:00:00,430,1611.96264,0,1046.181,0,925.327071
2022-03-01T00:00:00,420,3138.147868,0,1241.131,0,2331.612033
2022-03-01T00:00:00,411,,,0,,
2022-03-01T00:00:00,410,1322.278484,0,842.596,0,707.242238
2022-03-01T00:00:00,400,1180.473459,0,2410.647,879.136,0
2022-03-01T00:00:00,390,1895.756258,0,918.831,4888.1378,1250.828544
2022-03-01T00:00:00,376,6837.436678,22064.3051,2451.772,0,11328.15299
2022-03-01T00:00:00,370,8605.846403,0,6942.996,0,4913.327085
2022-03-01T00:00:00,360,45023.0448,49788.9745,11837.413,0,0
2022-03-01T00:00:00,350,771.765057,0,528.587,0,434.440302
2022-03-01T00:00:00,340,955.963008,0,449.034,0,723.262926
2022-03-01T00:00:00,336,1455.12136,0,443.113,0,185.728928
2022-03-01T00:00:00,330,4053.789777,3827.1531,4150.785,0,7935.5059
2022-03-01T00:00:00,329,946.38693,0,511.939,0,315.657232
2022-03-01T00:00:00,326,10631.12523,0,5757.139,6240.444261,1410.70545
2022-03-01T00:00:00,320,3722.244208,0,1160.136,0,2556.772982
2022-03-01T00:00:00,316,6882.130899,0,1706.528,0,403.701892
2022-03-01T00:00:00,306,496.764129,0,657.516,0,836.216474
2022-03-01T00:00:00,270,92.332333,0,712.912,0,1201.86513
2022-03-01T00:00:00,269,26.826031,0,347.893,0,1675.69051
2022-03-01T00:00:00,265,405.132218,0,1248.755,0,18545.25814
2022-03-01T00:00:00,260,427.806336,0,518.647,0,0.6061
2022-03-01T00:00:00,259,305.66415,0,880.509,0,8791.39596
2022-03-01T00:00:00,253,70.693319,0,705.036,0,71.40072
2022-03-01T00:00:00,250,178.003902,0,511.55,0,1209.646775
2022-03-01T00:00:00,240,6.07949,0,577.832,0,598.860869
2022-03-01T00:00:00,230,,,512.847,0,281.42926
2022-03-01T00:00:00,223,,,206.188,0,7602.106707
2022-03-01T00:00:00,219,367.169743,0,717.527,0,2284.197831
2022-03-01T00:00:00,217,1.81696,0,442.536,0,7554.64445
2022-03-01T00:00:00,210,,,365.712,0,176.64434
2022-03-01T00:00:00,201,135.18798,0,424.925,0,226.65907
2022-03-01T00:00:00,190,,,302.681,0,55.2015
2022-03-01T00:00:00,187,,,96.149,0,0
2022-03-01T00:00:00,185,,,323.935,0,0
2022-03-01T00:00:00,183,0,0,223.054,,
2022-03-01T00:00:00,175,,,208.438,,
2022-03-01T00:00:00,173,,,404.259,0,5675.90043
2022-03-01T00:00:00,169,95.807793,0,843.764,0,33.89159
2022-03-01T00:00:00,167,276.103591,2774.7198,577.753,280107.7483,78.64444
2022-03-01T00:00:00,165,,,163.412,0,4.21476
2022-03-01T00:00:00,163,,,358.472,,
2022-03-01T00:00:00,161,,,159.578,0,23474.05674
2022-03-01T00:00:00,159,,,389.034,0,3.76312
2022-03-01T00:00:00,157,,,303.995,0,0
2022-03-01T00:00:00,155,,,105.804,0,0
2022-03-01T00:00:00,153,,,319.412,0,0.01169
2022-03-01T00:00:00,151,,,680.619,0,137.78803
2022-03-01T00:00:00,147,,,174.26,0,0
2022-03-01T00:00:00,101,1525.527359,5718.198,1841.383,37467.996,23319.72934
2022-02-01T00:00:00,999,14183.56232,528559.8589,,0,4510.0217
2022-02-01T00:00:00,860,32981.38827,0,567.325,0,5947.01713
2022-02-01T00:00:00,851,35183.49048,0,746.921,121804.0806,14676.94468
2022-02-01T00:00:00,849,67495.52479,0,393.904,0,855.489927
2022-02-01T00:00:00,846,21840.82398,0,450.444,0,366.1964
2022-02-01T00:00:00,840,10043.39638,0,333.902,0,1406.05951
2022-02-01T00:00:00,825,0,0,236.167,0,1.26923
2022-02-01T00:00:00,820,44499.14098,0,1848.75,0,2371.73131
2022-02-01T00:00:00,813,10980.50045,1813.89,709.207,0,5713.67655
2022-02-01T00:00:00,810,26396.5693,0,305.446,0,4397.270192
2022-02-01T00:00:00,791,17442.15783,0,669.009,0,10010.33315
2022-02-01T00:00:00,787,61663.7805,0,2374.787,0,2465.53935
2022-02-01T00:00:00,779,36618.82038,0,1481.281,0,5467.388192
2022-02-01T00:00:00,773,25258.61461,0,1013.541,0,949.03232
2022-02-01T00:00:00,766,7083.662106,0,358.59,0,892.477243
2022-02-01T00:00:00,760,162810.1885,0,2008.751,0,6060.15928
2022-02-01T00:00:00,756,15811.93185,0,260.518,0,1406.383442
2022-02-01T00:00:00,751,2760.016578,0,1156.205,167506.7926,23778.2003
2022-02-01T00:00:00,746,4694.344869,0,293.534,0,1625.15486
2022-02-01T00:00:00,741,3810.751874,0,54.568,0,0
2022-02-01T00:00:00,740,4370.358465,0,1033.442,0,24926.55459
2022-02-01T00:00:00,730,50119.55077,0,1749.93,14054.81565,508.024382
2022-02-01T00:00:00,727,4693.050309,1846.9449,108.798,0,22.257441
2022-02-01T00:00:00,710,8088.499851,0,268.984,0,611.035797
2022-02-01T00:00:00,707,11594.30568,198631.6287,1108.976,0,24.885014
2022-02-01T00:00:00,706,5261.623606,0,312.623,0,303.477627
2022-02-01T00:00:00,671,21615.24104,0,151.504,0,0
2022-02-01T00:00:00,665,56345.1428,23012.29019,2234.334,0,5197.3326
2022-02-01T00:00:00,661,62069.92255,0,4839.426,0,11350.02775
2022-02-01T00:00:00,657,34889.05968,0,632.72,26577.39425,524.566304
2022-02-01T00:00:00,630,12140.34446,0,2907.335,0,1141.008328
2022-02-01T00:00:00,621,8724.335071,0,514.908,0,4263.043107
2022-02-01T00:00:00,615,995.496049,0,519.473,0,3914.986747
2022-02-01T00:00:00,607,627.370809,0,184.964,15601.7614,12570.65426
2022-02-01T00:00:00,580,24290.10713,0,1091.472,0,807.986319
2022-02-01T00:00:00,575,15988.70047,0,303.294,0,614.324702
2022-02-01T00:00:00,573,34581.8429,0,516.23,0,2163.6068
2022-02-01T00:00:00,563,829.9761,0,27.99,0,0
